state,state_name,region_name,date_accessed,agency_id,agency_name,vehicle_types
nsw,New South Wales,All,2019_12_06,700,train replacement bus operators,Bus
nsw,New South Wales,All,2019_12_06,701,train replacement bus operators,Bus
nsw,New South Wales,All,2019_12_06,2433,Busways Western Sydney,Bus
nsw,New South Wales,All,2019_12_06,2434,Interline Bus Services,Bus
nsw,New South Wales,All,2019_12_06,2435,Transit Systems,Bus
nsw,New South Wales,All,2019_12_06,2436,Hillsbus,Bus
nsw,New South Wales,All,2019_12_06,2437,Punchbowl Bus Company,Bus
nsw,New South Wales,All,2019_12_06,S0318,Buslines Group,Bus
nsw,New South Wales,All,2019_12_06,S0310,Kiama Coachlines,Bus
nsw,New South Wales,All,2019_12_06,2439,State Transit,Bus
nsw,New South Wales,All,2019_12_06,2440,State Transit,Bus
nsw,New South Wales,All,2019_12_06,2441,State Transit,Bus
nsw,New South Wales,All,2019_12_06,2442,Transdev NSW,Bus
nsw,New South Wales,All,2019_12_06,2443,Transdev NSW,Bus
nsw,New South Wales,All,2019_12_06,69,Dions Bus Service,Bus
nsw,New South Wales,All,2019_12_06,75,Port Stephens Coaches,Bus
nsw,New South Wales,All,2019_12_06,TRDV,Transdev,Bus
nsw,New South Wales,All,2019_12_06,2444,Transdev NSW,Bus
nsw,New South Wales,All,2019_12_06,2445,Forest Coach Lines,Bus
nsw,New South Wales,All,2019_12_06,304,Church Point Ferry Service,Ferry
nsw,New South Wales,All,2019_12_06,301,Palm Beach Ferry Service,Ferry
nsw,New South Wales,All,2019_12_06,305,Captain Cook Cruises,Ferry
nsw,New South Wales,All,2019_12_06,306,Manly Fast Ferry,Ferry
nsw,New South Wales,All,2019_12_06,300,Cronulla Ferries,Ferry
nsw,New South Wales,All,2019_12_06,302,Brooklyn Ferry Service,Ferry
nsw,New South Wales,All,2019_12_06,303,Central Coast Ferries,Ferry
nsw,New South Wales,All,2019_12_06,CRF,Clarence River Ferries,Ferry
nsw,New South Wales,All,2019_12_06,2446,Busabout,Bus
